zone_id,date,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,expected_p_final,expected_risk_level,target_risk_level
DEMO_ZONE_01,2026-09-06,3.75,11.25,22.5,45.0,0.0931967630460117,Low,Low
DEMO_ZONE_02,2026-09-06,2.5,7.5,15.0,30.0,0.24516931252401766,Moderate,Moderate
DEMO_ZONE_03,2026-09-06,105.0,210.0,330.0,480.0,0.5131270457199573,High,High
DEMO_ZONE_04,2026-09-06,100.0,190.0,280.0,380.0,0.6498122356766808,High,Very High
DEMO_ZONE_05,2026-09-06,52.5,105.0,165.0,240.0,0.1266960401192372,Moderate,Low
DEMO_ZONE_06,2026-09-06,6.25,18.75,37.5,75.0,0.3322528306777863,Moderate,Moderate
DEMO_ZONE_07,2026-09-06,2.5,7.5,15.0,30.0,0.7111303663251726,High,High
DEMO_ZONE_08,2026-09-06,2.5,7.5,15.0,30.0,0.803350214440473,Very High,Very High
DEMO_ZONE_09,2026-09-06,52.5,105.0,165.0,240.0,0.4731373064905229,High,Low
DEMO_ZONE_10,2026-09-06,52.5,105.0,165.0,240.0,0.598432710383734,High,Moderate
DEMO_ZONE_11,2026-09-06,30.0,70.0,120.0,180.0,0.7676995583700807,High,High
DEMO_ZONE_12,2026-09-06,2.5,7.5,15.0,30.0,0.9580309562006668,Very High,Very High
